publisher_id,publication_date,book_id
143,2006-06-01,244
16,2006-07-25,245
144,2002-09-17,246
145,2004-04-01,247
146,2004-01-01,248
31,2003-07-07,249
147,2006-05-02,250
148,2004-01-21,251
149,2004-10-07,252
111,2005-09-27,253
150,1999-09-22,254
108,2008-05-13,255
151,2003-10-14,256
152,2006-02-07,257
152,2006-02-07,258
33,2004-10-12,259
151,2004-10-19,260
153,2004-09-02,261
154,2005-05-15,262
155,2006-04-01,263
156,2004-09-01,264
157,2006-05-01,265
156,2001-09-01,266
158,2006-04-04,267
159,2002-11-01,268
160,2001-03-31,269
10,2005-06-14,270
161,2004-09-21,271
162,2005-05-31,272
10,2001-02-06,273
163,2000-05-02,274
163,2005-05-31,275
133,2006-03-28,276
164,2000-08-02,277
165,2005-06-01,278
165,2004-12-01,279
166,2002-09-19,280
166,2005-05-11,281
166,1988-06-13,282
167,2006-04-30,283
168,2006-05-02,284
169,1993-05-01,285
170,2006-09-19,286
170,2005-09-13,287
170,2006-07-18,288
170,2005-05-03,289
170,2005-11-08,290
128,1998-11-01,291
170,2005-07-05,292
144,2005-11-08,293
171,2002-12-03,294
56,2002-01-08,295
172,2005-09-06,296
78,2004-04-12,297
71,2009-07-07,298
153,2005-11-22,299
173,2005-11-15,300
33,2005-12-01,301
174,2005-10-20,302
33,1998-06-04,303
100,2003-05-06,304
175,2006-02-01,305
62,2002-08-01,306
176,2005-01-01,307
100,2006-04-01,308
177,2005-12-01,309
178,2005-12-01,310
179,2006-03-28,311
9,2006-03-28,312
180,2005-05-03,313
100,2006-04-01,314
181,2004-05-01,315
182,2005-08-01,316
183,2005-02-01,317
184,1998-10-01,318
185,2005-09-01,319
186,2004-08-07,320
13,2006-06-07,321
187,2005-06-01,322
11,2004-12-28,323
188,2008-02-01,324
189,2005-06-17,325
9,2005-05-10,326
120,2006-07-04,327
56,1976-11-18,328
190,2000-07-15,329
191,2009-03-04,330
192,2005-03-15,331
68,2005-07-05,332
56,2002-04-04,333
127,2006-02-21,334
193,2006-09-26,335
33,1975-07-12,336
11,2006-07-25,337
194,1999-06-10,338
195,2005-04-01,339
196,2003-11-26,340
197,2005-10-01,341
49,2003-04-18,342
198,2005-05-15,343
94,1993-02-16,344
199,2004-09-24,345
56,1990-10-01,346
134,1993-06-01,347
200,2001-03-01,348
201,2006-04-04,349
201,2005-02-22,350
201,2007-04-03,351
201,2006-09-26,352
202,2003-03-25,353
202,2004-10-01,354
73,2006-10-17,355
203,2006-08-01,356
27,2006-12-08,357
204,2006-06-01,358
205,2004-05-03,359
206,2005-11-24,360
56,1999-09-01,361
207,2005-09-22,362
208,2006-02-10,363
10,2006-03-28,364
209,2003-08-07,365
119,1993-02-01,366
210,2005-07-07,367
211,2002-10-01,368
212,2012-04-03,369
27,1998-10-21,370
26,2007-04-03,371
213,1998-10-29,372
132,2002-06-25,373
214,1980-05-04,374
121,2004-03-17,375
215,2005-06-01,376
216,2000-09-01,377
132,2005-09-27,378
162,1992-03-01,379
217,2001-06-18,380
218,2006-07-01,381
132,2001-08-28,382
132,2003-07-01,383
219,2003-04-01,384
220,2002-05-30,385
221,2006-04-24,386
54,1973-01-30,387
149,2003-01-16,388
54,2005-08-25,389
222,1991-12-01,390
223,2019-02-11,391
224,2006-06-15,392
225,1998-09-01,393
224,1999-03-15,394
54,2004-01-29,395
56,2003-01-30,396
54,1954-09-01,397
222,1992-11-01,398
138,1998-11-19,399
54,1970-08-30,400
226,1992-01-17,401
227,1997-03-25,402
190,1987-03-14,403
54,1999-04-29,404
224,1997-03-12,405
30,2004-04-03,406
54,1999-11-01,407
54,2003-01-30,408
137,1999-08-01,409
224,2000-09-15,410
54,2006-11-30,411
30,1998-11-05,412
68,1999-06-01,413
54,2003-01-30,414
137,1999-08-01,415
228,2001-01-01,416
229,1999-10-01,417
230,2006-01-30,418
138,1999-09-02,419
231,1997-12-03,420
232,2002-11-07,421
233,1991-10-13,422
62,2005-08-01,423
234,1994-02-01,424
168,1995-05-01,425
168,1996-09-28,426
168,2004-03-30,427
168,2006-07-03,428
168,2006-05-23,429
168,2000-04-26,430
68,2006-06-01,431
56,2001-12-01,432
57,2000-05-30,433
57,2000-05-29,434
235,2015-03-24,435
229,1919-01-01,436
224,1993-10-01,437
229,1921-01-01,438
224,1998-06-01,439
103,1998-07-17,440
229,1923-01-01,441
236,1989-01-30,442
190,1955-02-15,443
190,1969-01-15,444
190,1968-11-15,445
237,2006-08-01,446
238,1990-08-01,447
190,1992-01-15,448
190,2002-04-15,449
56,2003-03-27,450
239,1994-01-01,451
62,2002-09-16,452
54,2006-01-26,453
149,2001-02-22,454
240,2000-11-09,455
59,2002-07-17,456
121,2004-07-17,457
138,2001-12-20,458
239,1995-02-15,459
149,1990-02-01,460
239,1998-09-01,461
149,2006-08-10,462
241,2002-10-31,463
57,1965-09-13,464
239,1999-12-01,465
239,2002-06-15,466
241,2006-03-09,467
190,1992-08-01,468
190,1969-05-15,469
190,1992-02-01,470
149,2004-10-07,471
54,1984-02-07,472
224,1998-09-15,473
56,1961-08-30,474
30,2004-09-04,475
242,1997-11-01,476
190,1992-08-01,477
62,2004-01-22,478
112,2004-01-20,479
242,1998-01-01,480
59,1996-09-24,481
243,2004-06-17,482
190,1969-05-15,483
139,1996-05-01,484
