author_id,author_name
180,"Preston B. Nichols"
181,"Nina Helms"
182,"Jared Diamond"
183,"Stephen Leeb"
184,"Glen C. Strathy"
185,"Joseph A. Tainter"
186,"Robert D. Putnam"
187,"Philip K. Howard"
188,"Joy Harjo"
189,"Gloria Bird"
190,"Beth Cuthand"
191,"Valerie Martinez"
192,"Patricia Blanco"
193,"Nikola Tesla"
194,"Marc J.  Seifer"
195,"William H. Terbo"
196,"Carol Dommermuth-Costa"
197,"David Hatcher Childress"
198,"Julie Elizabeth Leto"
199,"Leslie Kelly"
200,"Kimberly Raye"
201,"Chad Fowler"
202,"Andy Hunt"
203,"Maureen Kelly"
204,"CliffsNotes "
205,"William Golding"
206,"Victor Davis Hanson"
207,"Ephraim Sevela"
208,"Antonina W. Bouis"
209,"Alice Sebold"
210,"Sharyn McCrumb"
211,"Dave Shea"
212,"Molly E. Holzschlag"
213,"Elizabeth Castro"
214,"Michael Ochs"
215,"Patrick Javault"
216,"Ulrike Wasel"
217,"Chuck Klosterman"
218,"Jane Feather"
219,"Robert M. Pirsig"
220,"Kevin O'Malley"
221,"Carol Heyer"
222,"Scott Goto"
223,"Ronald L. DiSanto"
224,"Thomas J. Steele"
225,"John Harold Haynes"
226,"Catharine M. Fishel"
227,"Bill Gardner"
228,"Hugh McLean"
229,"Henry Gifford"
230,"Ayn Rand"
231,"Leonard Peikoff"
232,"Nathaniel Branden"
233,"Alan Greenspan"
234,"Robert Hessen"
235,"Michael S. Berliner"
236,"J.J. Isler"
237,"Peter Isler"
238,"Colin Wells"
239,"Billy Collins"
240,"Christopher Caswell"
241,"Kevin Trudeau"
242,"Bernard Malamud"
243,"Kevin Baker"
244,"Anne Tyler"
245,"Gary Colombo"
246,"Bonnie Lisle"
247,"Thomas E. Skidmore"
248,"Peter H. Smith"
249,"Philip Roth"
250,"Jon Stewart"
251,"Gregory Rabassa"
252,"J.S. Bernstein"
253,"Edith Grossman"
254,"Brian Greene"
255,"Upasika Kee Nanayon"
256,"Thanissaro Bhikkhu"
257,"Rob Humphreys"
258,"Beth Chaplin"
259,"Rebecca Morrill"
260,"Lonely Planet"
261,"Sarah Johnstone"
262,"Steve Fallon"
263,"Tom Masters"
264,"Mark Honan"
265,"H.G. Bissinger"
266,"Neal Stephenson"
267,"J. Frederick George"
268,"Pedro Jorge Romero"
269,"George F. Jewsbury"
270,"Stephen Bury"
271,"Guy Abadia"
272,"Dan Harrington"
273,"Bill Robertie"
274,"Donald A. Norman"
275,"Alex C. Jones"
276,"Diane M. Hanson"
277,"Stephen K. Ray"
278,"Paulo Coelho"
279,"Alan R. Clarke"
280,"James Noel Smith"
281,"Özdemir İnce"
282,"Hiromu Arakawa"
283,"Akira Watanabe"
284,"Mœbius "
285,"Robert Harris"
286,"Edward Bulwer-Lytton"
287,"John Gregory Betancourt"
288,"John Steinbeck"
289,"Neil Strauss"
290,"Ellen Raskin"
291,"Arthur Golden"
292,"David James"
293,"Peggy Mulloy"
294,"Rob Marshall"
295,"Mineko Iwasaki"
296,"Rande Brown"
297,"J. Torres"
298,"Eric Kim"
299,"Margaret Johnson"
300,"Philip Prowse"
301,"Gary Chapman"
302,"Dan Brown"
303,"Raúl Amundaray"
304,"Daniel Roche"
305,"P.J. Parrish"
306,"Thomas J. Stanley"
307,"William D. Danko"
308,"Napoleon Hill"
309,"Mike Mason"
310,"Riki Anne Wilchins"
311,"Donald J. Trump"
312,"Tony Schwartz"
313,"George S. Clason"
314,"Trevanian "
315,"Gisela Stege"
316,"David McCullough"
317,"Peter Stone"
318,"Sherman Edwards"
319,"Robert J. Allison"
320,"Pearl S. Buck"
321,"Rick Warren"
322,"Eric Schlosser"
323,"Lisa See"
324,"John Grisham"
325,"Robert A. Caro"
326,"Stephen W. Frey"
327,"Bill Phillips"
328,"Michael D'Orso"
329,"Pamela Peeke"
330,"Cindy Crawford"
331,"Robert G. Hagstrom"
332,"Bill Miller"
333,"Kenneth L. Fisher"
334,"Robert P. Miles"
335,"Tom Osborne"
336,"Marvin N. Olasky"
337,"John R. Perry"
338,"Barbara Park"
339,"Denise Brunkus"
340,"Sarah Mlynowski"
341,"Michael Lewis"
342,"Frank McConnell"
343,"Ursula Ferrigno"
344,"Jason Lowe"
345,"Maxine Clark"
346,"Giada De Laurentiis"
347,"Victoria Pearson"
348,"Tyler Florence"
349,"Petrina Tinslay"
350,"JoAnn Cianciulli"
351,"Bill Bettencourt"
352,"Bobby Flay"
353,"Steven D. Levitt"
354,"Stephen J. Dubner"
355,"Barry Eisler"
356,"Yann Martel"
357,"Nicole Martel"
358,"Emile Martel"
359,"Robert Templer"
360,"James Frey"
361,"Python Bonkers"
362,"James Pinocchio"
363,"Pablo Fenjves"
364,"James M. Kouzes"
365,"Barry Z. Posner"
366,"Donald T. Phillips"
367,"Gary Yukl"
368,"Rudolph W. Giuliani"
369,"John Gray"
370,"Ron Louis"
371,"David Copeland"
372,"Jean M. Auel"
373,"Doug Walsh"
374,"Robert Greene"
375,"Joost Elffers"
376,"Steven Pressfield"
377,"Margaret Weis"
378,"Tracy Hickman"
379,"Thomas Harlan"
380,"Robert McKee"
381,"Stephen J. Rosen"
382,"David J. Danelo"
383,"Plato "
384,"Walter Hamilton"
385,"C.J. Rowe"
386,"Benjamin Jowett"
387,"Josef Pieper"
388,"Richard Winston"
389,"Clara Winston"
390,"C.D.C. Reeve"
391,"James H. Nichols Jr."
392,"Chris Emlyn-Jones"
393,"Herodotus "
394,"Aubrey de Sélincourt"
395,"John M. Marincola"
396,"Henry Francis Cary"
397,"Carolyn Dewald"
398,"Andrew Robert Burn"
399,"Jennifer Tolbert Roberts"
400,"Walter Blanco"
401,"Edward Henry Blakeney"
402,"George Rawlinson"
403,"Rosalind Thomas"
404,"Peter Grene"
405,"Homer "
406,"Robert Fagles"
407,"Bernard Knox"
408,"Stanley Lombardo"
409,"Sheila Murnaghan"
410,"Robert Fitzgerald"
411,"Andrew Ford"
412,"E.V. Rieu"
413,"Peter Jones"
414,"D.C.H. Rieu"
415,"W.H.D. Rouse"
416,"D.S. Carne-Ross"
417,"Richmond Lattimore"
418,"Virgil "
419,"Barbara Weiden Boyd"
420,"Henry Rushton Fairclough"
421,"G.P. Goold"
422,"Ed Roberson"
423,"Cecil Day-Lewis"
424,"Paul Kirk"
425,"William Shakespeare"
426,"Stephen Orgel"
427,"A.R. Braunmuller"
428,"Harold Bloom"
429,"Rex Gibson"
430,"Reduced Shakespeare Company"
431,"Adam Long"
432,"Daniel Singer"
433,"Jess Winfield"
434,"Margaret Jull Costa"
435,"Clifford E. Landers"
436,"Kâmuran Şipal"
437,"Carla Lynn Stockton"
438,"Terri Mategrano"
439,"Giorgio De Santillana"
440,"Hertha Von Dechend"
441,"Thucydides "
442,"C.F. Smith"
443,"Paul Woodruff"
444,"Steven Lattimore"
445,"Cynthia W. Shelmerdine"
446,"Euripides "
447,"David Grene"
448,"Rex Warner"
449,"Ralph Gladstone"
450,"Emily Townsend Vermeule"
451,"Elizabeth Wyckoff"
452,"William Arrowsmith"
453,"Frank William Jones"
454,"Charles R. Walker"
455,"Anne Carson"
456,"Moses Hadas"
457,"John Maclean"
458,"John Frederick Nims"
459,"Ronald Frederick Willetts"
460,"Witter Bynner"
461,"John Davie"
462,"Richard Rutherford"
463,"David Kovacs"
464,"Donald J. Mastronarde"
465,"Reginald Gibbons"
466,"Peter H. Burian"
467,"David Thompson"
468,"J. Michael Walton"
469,"Wole Soyinka"
470,"James Morwood"
471,"Georgia Ann Machemer"
472,"Michael Collier"
473,"William Allan"
474,"Robert J. Milch"
475,"Pantelis Michelakis"
476,"Aeschylus "
477,"Seth Benardete"
478,"Alan Shapiro"
479,"William Bedell Stanford"
480,"Peter Meineck"
481,"Helene P. Foley"
482,"Philip Vellacott"
483,"Ted Hughes"
484,"David R. Slavitt"
485,"Smith Palmer Bovie"
486,"Simon Goldhill"
487,"George Thomson"
488,"Richard Seaford"
489,"E.D.A. Morshead"
490,"Sophocles "
491,"John Moore"
492,"Michael Jameson"
493,"Paul Roche"
494,"Dudley Fitts"
495,"Charles Segal"
496,"E.F. Watling"
497,"Edith Hall"
498,"H.D.F. Kitto"
499,"J.E. Thomas"
500,"Roger D. Dawe"
501,"Cynthia Brantley Johnson"
502,"Aristophanes "
503,"Douglass Parker"
504,"Jeffrey Henderson"
505,"Alan H. Sommerstein"
506,"Kenneth James Dover"
507,"David B. Barrett"
508,"W. John Campbell"
509,"Douglas M. MacDowell"
510,"S. Douglas Olson"
511,"Sarah Ruden"
512,"David Brett"
513,"Andrea Wilson Nightingale"
514,"Mark Haddon"
515,"George Pelecanos"
516,"Annie Proulx"
517,"David Allen"
518,"Geoffrey M. Bellman"
519,"Ricardo Piglia"
520,"Amanda Hopkinson"
521,"Karen O'Connor"
522,"Larry J. Sabato"
523,"Ernesto Sabato"
524,"Augustine of Hippo"
525,"John E. Rotelle"
526,"Maria Boulding"
527,"Thomas Merton"
528,"Marcus Dods"
529,"Bruce Harbert"
530,"Peter R.L. Brown"
531,"D.W. Robertson Jr."
532,"Frank Sheed"
533,"Henry Chadwick"
534,"Boniface Ramsey"
535,"Edmund Hill"
536,"Anthony Bourdain"
537,"Ovid "
538,"Allen Mandelbaum"
539,"David Raeburn"
540,"Denis Feeney"
541,"Charles Martin"
542,"William Scovil Anderson"
543,"Norma Goldman"
544,"Jacob E. Nyenhuis"
545,"J.H. Mozley"
546,"Peter Green"
547,"Frank Justus Miller"
548,"Michael Rossi"
549,"Michael C.J. Putnam"
550,"Richard Johnsonbaugh"
551,"Martin Kalin"
552,"Daniel Pinchbeck"
553,"Lee Fukui"
554,"Jon Ronson"
555,"Daniel Duane"
556,"Jon Krakauer"
557,"John Eldredge"
558,"Jung Chang"
559,"Nelson DeMille"
560,"Catherine Coulter"
561,"Jack London"
562,"Avi "
563,"Judy Sierra"
564,"Marc Brown"
565,"Charles P. Rubenstein"
566,"Barbara Ehrenreich"
567,"Michel Foucault"
568,"Robert Hurley"
569,"Sue Birtwistle"
570,"Sue Conklin"
571,"Susie Conklin"
572,"Jane Austen"
573,"Vivien Jones"
574,"George Saintsbury"
575,"Hugh Thomson"
576,"Carol Howard"
577,"David Roberts"
578,"Valerian Albanov"
579,"Alison Anderson"
580,"Валериан Альбанов"
581,"Thomas L. Friedman"
582,"David McClung"
583,"Peter Schaerer"
584,"Arthur J. Roth"
585,"Louisa May Alcott"
586,"Paula Danziger"
587,"Jessie Willcox Smith"
588,"Frank T. Merrill"
589,"Elaine Showalter"
590,"Charles Dickens"
591,"Keith Cox"
592,"Gillen D'Arcy Wood"
593,"SparkNotes "
594,"Simon Schama"
595,"James B. Stewart"
596,"Julia Golding"
597,"Mary Gaitskill"
598,"Hablot Knight Browne"
599,"Gish Jen"
600,"Daniel Pool"
601,"Jane Smiley"
602,"Patricia Ingham"
603,"Colleen Sexton"
604,"Philip Nel"
605,"Sean O'Brien"
606,"B.B. Rogers"
607,"Radcliffe G. Edmonds III"
608,"Robert Mayhew"
609,"F.W. Hall"
610,"W.M. Geldart"
611,"Paul Anthony Cartledge"
612,"Raymond Chandler"
613,"Frank MacShane"
614,"Tom Hiney"
615,"Paul Murray"
616,"Patti Davis"
617,"Masaki Yamada"
618,"Yuji Oniki"
619,"Carl Gustav Horn"
620,"Daniel C. Dennett"
621,"Nicholas Humphrey"
622,"Douglas R. Hofstadter"
623,"Stephen Hawking"
624,"Leonard Mlodinow"
625,"David Filkin"
626,"Kip S. Thorne"
627,"Igor Novikov"
628,"Timothy Ferris"
629,"Alan Lightman"
630,"Richard Price"
631,"John Boslough"
632,"Roger Penrose"
633,"Lawrence M. Krauss"
634,"Phillip Glasier"
635,"Peter Schwartz"
636,"David Harriman"
637,"Nancy L. Mace"
638,"Peter V. Rabins"
639,"Jorge Cruise"
640,"Thom Hartmann"
641,"Joseph Chilton Pearce"
642,"Neale Donald Walsch"
643,"Michael Cunningham"
644,"Malcolm Gladwell"
645,"Ted Dekker"
646,"Mark Hoppus"
647,"Anne Hoppus"
648,"Alex Gaskarth"
649,"Karen Joy Fowler"
650,"Deirdre Le Faye"
651,"James Kinsley"
652,"Anna Massey"
653,"Richard S. Hartmetz"
654,"Maurgaux Motin"
655,"Deidre Shauna Lynch"
656,"Kim Wilson"
657,"Tom Carpenter"
658,"Ernest Hemingway"
659,"Donald Sutherland"
660,"Jeanne Sallade Criswell"
661,"Gary Carey"
662,"Julian Barnes"
663,"Gustave Flaubert"
664,"Francis Steegmuller"
665,"Douglas Parmée"
666,"Roger Whitehouse"
667,"Geoffrey Wall"
668,"Robert Baldick"
669,"Jean-Paul Sartre"
670,"Carol Cosman"
671,"Jeffrey Eugenides"
672,"Doris Kearns Goodwin"
673,"Thomas May"
674,"John Adams"
675,"Abigail Adams"
676,"Frank Shuffelton"
677,"Joseph J. Ellis"
678,"John Patrick Diggins"
679,"Ruth Westheimer"
680,"Jennifer Watson"
681,"David D. Burns"
682,"Elisabeth Kübler-Ross"
683,"Lynne Ann DeSpelder"
684,"Albert Lee Strickland"
685,"Mark Shepard"
686,"Stephen R. Covey"
687,"Dan Millman"
688,"Robert D. San Souci"
689,"T. Taylor Bruce"
690,"Lance Armstrong"
691,"Sally Jenkins"
692,"John Wilcockson"
693,"Graham Watson"
694,"Truman Capote"
695,"Reynolds Price"
696,"Margaret Truman"
697,"Scott Brick"
698,"Steven Johnson"
699,"Temple Grandin"
700,"Margaret M. Scariano"
701,"Iris Fry"
702,"Edith Wharton"
703,"Laszlo Kubinyi"
704,"R.W.B. Lewis"
705,"Maureen Howard"
706,"Cynthia Griffin Wolff"
707,"Alton Raible"
708,"John Lloyd"
709,"Humphrey Carpenter"
710,"Christopher Tolkien"
711,"Ruth S. Noel"
712,"Christina Scull"
713,"Wayne G. Hammond"
714,"E.V. Gordon"
715,"A.R. Taylor"
716,"Sarah M.  Anderson"
717,"Karen Swenson"
718,"Jeffery Deaver"
719,"Paul Yee"
720,"Herman Melville"
721,"William Hootkins"
722,"Jan Needle"
723,"Patrick Benson"
724,"Carl F. Hovde"
725,"Michael J. Davey"
726,"Duncan Wu"
727,"Geraldine McCaughrean"
728,"Victor G. Ambrus"
729,"Edward F. Edinger"
730,"Julian Markels"
731,"Elizabeth A. Schultz"
732,"Steve Martini"
733,"Terry Pratchett"
734,"Mark Twain"
735,"Grover Gardner"
736,"Susan Griffith"
737,"Theocritus "
738,"Hesiod "
739,"Glenn W. Most"
740,"Simon Gikandi"
741,"H.G. Wells"
742,"Patrick Parrinder"
743,"Steven McLean"
744,"Marina Warner"
745,"Benjamin Beard"
746,"Joseph McMoneagle"
747,"Melvin Burgess"
748,"John R. Hammond"
749,"Ursula K. Le Guin"
750,"Umberto Eco"
751,"Henri J.M. Nouwen"
752,"Timothy B. Tyson"
753,"José Saramago"
754,"Giovanni Pontiero"
755,"Peter Sís"
756,"Pilar del Río"
757,"Jihad El"
758,"H.M. Nahmad"
759,"Robert Hillyer"
760,"Jack Kerouac"
761,"Ann Charters"
762,"Mark Stevens"
763,"Annalyn Swan"
764,"Julie Sylvester"
765,"David Sylvester"
766,"Tina Blythe"
767,"Gene Thompson-Grove"
768,"Sun Tzu"
769,"Mark McNeilly"
770,"Al Ries"
771,"Jack Trout"
772,"Seth Godin"
773,"Clayton M. Christensen"
774,"L.J. Ganser"
775,"David Trotter"
776,"Charlotte Mitchell"
777,"Edgar Rosenberg"
778,"Erasmus "
779,"Martin Luther"
780,"Philip S. Watson"
781,"E. Gordon Rupp"
782,"Harper Lee"
783,"Sissy Spacek"
784,"David H. Chilton"
785,"Jonathan Swift"
786,"Jesse Gale"
787,"Xavier de C."
788,"Joseph Rowe"
789,"R.D. Gooder"
790,"Myra Jehlen"
791,"Leo Bersani"
792,"John Hollander"
793,"David Bromwich"
794,"Geoffrey Chaucer"
795,"Nevill Coghill"
796,"David Wright"
797,"Jill Mann"
798,"Vincent Foster Hopper"
799,"Helen Cooper"
800,"Brian Stone"
801,"Larry Dean Benson"
802,"F.N. Robinson"
803,"Theodore Morrison"
804,"Mark Kurlansky"
805,"Deloris Jordan"
806,"Kadir Nelson"
807,"Roslyn M. Jordan"
808,"Monique Truong"
809,"Abdul Rahman Munif"
810,"Peter Theroux"
811,"Kim Stanley Robinson"
812,"Walter Benjamin"
813,"Hannah Arendt"
814,"Harry Zohn"
815,"Leon Wieseltier"
816,"Saul Steinberg"
817,"Joel Smith"
818,"Charles Simic"
819,"Philip Dutre"
820,"David Guterson"
821,"Dave Pelzer"
822,"William S. Pollack"
823,"Mary Pipher"
824,"Douglas Coupland"
825,"Jean Aitchison"
826,"Diana M. Lewis"
827,"Ernest Becker"
828,"Sam Keen"
829,"Daniel Goleman"
830,"Howard Zinn"
831,"Kathy Emery"
832,"Ellen Gordon Reeves"
833,"Richard Hollis"
834,"Lisa Lowe"
835,"Jonathan Hale"
836,"David Bodanis"
837,"Rolland Hein"
838,"Clyde S. Kilby"
839,"Giotto di Bondone"
840,"Mary Chambers"
841,"Friedrich Nietzsche"
842,"Raymond Geuss"
843,"Ronald Speirs"
844,"Francis Golffing"
845,"Michael Tanner"
846,"Shaun Whiteside"
847,"Alastair Lamb"
848,"David Lionel Smith"
849,"Sherley Anne Williams"
850,"Michael Prichard"
851,"Katherine Paterson"
852,"Donna Diamond"
853,"Emil M. Cioran"
854,"Richard Howard"
855,"Tanya Huff"
856,"Tracy Chevalier"
857,"Rosalind Laker"
858,"Tom Hunter"
859,"Colin Wiggins"
860,"Tite Kubo"
861,"Tsugumi Ohba"
862,"Takeshi Obata"
863,"大場 つぐみ"
864,"小畑 健"
865,"Valerie Parv"
866,"John E. Woods"
867,"Jean-Jacques Sempé"
868,"Steve Chorney"
869,"Mike Rowe"
870,"Ronald Radano"
871,"Daniel Defoe"
872,"Virginia Woolf"
873,"John J. Richetti"
874,"Michael Shinagel"
875,"Manuel Schonhorn"
876,"Charles Johnson"
877,"Paul Baender"
878,"Dahlia Armon"
879,"Walter Blair"
880,"Lee Nelson"
881,"Guy Cardwell"
882,"Louis J. Budd"
883,"John Seelye"
884,"Walter Trier"
885,"E.W. Kemble"
886,"George Saunders"
887,"Michael Patrick Hearn"
888,"Lin Salamo"
889,"Victor Fischer"
890,"Michael B. Frank"
891,"Charles Neider"
892,"James Hilton"
893,"C. Michael Dudash"
894,"Stephen W. Hines"
895,"Nancy Friday"
896,"Frances Hodgson Burnett"
897,"Sandra M. Gilbert"
898,"Martha Hailey DuBose"
899,"Lucy Corvino"
900,"Arthur Pober"
901,"Alison Lurie"
902,"Nancy Bond"
903,"Ann Thwaite"
904,"Amy Cotler"
905,"Prudence See"
906,"Thomas Sowell"
907,"Selina Shirley Hastings"
908,"Juan Wijngaard"
909,"Alcoholics Anonymous"
910,"Overeaters Anonymous"
911,"Kimon Nicolaides"
912,"Mamie Harmon"
913,"Andrew Weil"
914,"Jonathan Safran Foer"
915,"Robert Giroux"
916,"Jonathan Rosen"
917,"Lawrence M. Lasher"
918,"Aleksandar Hemon"
919,"Matthew Barber"
920,"Elizabeth von Arnim"
921,"Benjamin DeMott"
922,"Lionel Trilling"
923,"Gilbert Adair"
924,"Elizabeth Heine"
925,"P.N. Furbank"
926,"Robert Hellenga"
927,"Gordon S. Wood"
928,"Gordon Korman"
929,"Deborah Gordon"
930,"Ivo Andrić"
931,"William H. McNeill"
932,"Jean Estoril"
933,"Pascale Delpech"
934,"Mabel Esther Allan"
935,"Reginald E. Allen"
936,"Aristotle "
937,"W.S. Hett"
938,"Ian C. Storey"
939,"Gilbert Murray"
940,"Alan Brennert"
941,"Eric Jensen"
942,"Angus Gellatly"
943,"Oscar Zárate"
944,"Richard Appignanesi"
945,"Isabel Allende"
946,"Margaret Sayers Peden"
947,"Richard D. Woods"
948,"Kenneth M. Taggart"
949,"Ernst E. Jonas"
950,"Jenny Sanders"
951,"S.D. Schindler"
952,"Dalai Lama XIV"
953,"Open City Magazine"
954,"James Purdy"
955,"Deborah Garrison"
956,"Rem Koolhaas"
957,"Rick Moody"
958,"Strawberry Saroyan"
959,"Debra Garrison"
960,"Wallace Stegner"
961,"Jackson J. Benson"
962,"Steve Krug"
963,"Louis de Bernières"
964,"Faïza Guène"
965,"Sarah Adams"
966,"Lawrence Otis Graham"
967,"Otis Williams"
968,"Patricia Romanowski"
969,"Colleen McCullough"
970,"Jill Colella"
971,"Mitch Albom"
972,"Tim O'Brien"
973,"Nicholas Sparks"
974,"Micah Sparks"
975,"Ramón González Férriz"
976,"Gwyn Hyman Rubio"
977,"Lori Avocato"
978,"Dana Cameron"
979,"Mary Dahiem"
980,"Suzanne Macpherson"
981,"Cait London"
982,"Kerrelyn Sparks"
983,"Mary Daheim"
984,"Marisha Pessl"
985,"Lois Beckwith"
986,"Baruch Spinoza"
987,"Janet Evanovich"
988,"Jayne Ann Krentz"
989,"Sarah Ban Breathnach"
990,"Marjorie Weinman Sharmat"
991,"Mitchell Sharmat"
992,"George E. Stanley"
993,"Kaho Miyasaka"
994,"Fulton J. Sheen"
995,"George MacDonald"
996,"Michael R. Phillips"
997,"Ivan Turgenev"
998,"Jane Moore"
999,"Amanda Clark"
1000,"Justin O'Brien"
1001,"Antonio Gramsci"
1002,"L.M. Montgomery"
1003,"Mary Henley Rubio"
1004,"Elizabeth Hillman Waterston"
1005,"Rea Wilmshurst"
1006,"Susan O'Malley"
1007,"Arthur Conan Doyle"
1008,"Leslie S. Klinger"
1009,"E.J. Wagner"
1010,"John Gielgud"
1011,"Ralph Richardson"
1012,"Orson Welles"
1013,"Nick Rennison"
1014,"NOT A BOOK"
1015,"Paul Bachem"
1016,"Eric Tyson"
1017,"Rich Tennant"
1018,"Clare Naylor"
1019,"Bruce H. Wilkinson"
1020,"David Kopp"
1021,"Heather Harpham Kopp"
1022,"Lois Lowry"
1023,"Bill Brittain"
1024,"Andrew Glass"
1025,"Jack Weatherford"
1026,"Claire Messud"
1027,"Zadie Smith"
1028,"Libba Bray"
1029,"Kym Douglas"
1030,"Cindy Pearlman"
1031,"Anna Sewell"
1032,"Ann Patchett"
1033,"Norman Sherry"
1034,"Graham Greene"
1035,"Pico Iyer"
1036,"John Updike"
1037,"Christopher Hitchens"
1038,"Paul Theroux"
1039,"Robert Stone"
1040,"Chuck Palahniuk"
1041,"Warner Berthoff"
1042,"Robert Penn Warren"
1043,"G. Thomas Tanselle"
1044,"Harrison Hayford"
1045,"Harold Beaver"
1046,"Helen Ericson"
1047,"Maya Gold"
1048,"Ian Fleming"
1049,"Madeleine Brent"
1050,"George Condo"
1051,"Noel Streatfeild"
1052,"Diane Goode"
1053,"Rumer Godden"
1054,"Gary Blythe"
1055,"Christian Birmingham"
1056,"Anne Chisholm"
1057,"Jonathan Franzen"
1058,"Lisa Whelchel"
1059,"Stormie Omartian"
1060,"P.D. James"
1061,"Henri Blocher"
1062,"Nina Bangs"
1063,"Michael Jan Friedman"
1064,"Christa Seibicke"
1065,"Miguel de Cervantes Saavedra"
1066,"John Rutherford"
1067,"Roberto González Echevarría"
1068,"Walter Starkie"
1069,"Tobias Smollett"
1070,"Carlos Fuentes"
1071,"Vladimir Nabokov"
1072,"Fredson Bowers"
1073,"Guy Davenport"
